drug_key	atc	numerator_value	numerator_unit	denominator_value	denominator_unit	actual_unit	route	route_long	hospital_name	n	drug_names
B01AB04_SC_5000_iu_iu	B01AB04	5000	iu	NA	NA	iu	SC	subcutaneous	Esbjerg, Kolding_extract, Odense_extract, Soenderborg_extract, Svendborg_extract, Vejle_extract	8888	Fragmin, Fragmin (1 htgl=100.000 anti-Xa IE) Pf, Fragmin (1 sprøjte = 2.500 anti-Xa IE), Fragmin (1 sprøjte = 5.000 anti-Xa IE), Fragmin (1 sprøjte = 7.500 anti-Xa IE), Fragmin (1 sprøjte= 10.000 anti-Xa IE), Fragmin (1 sprøjte= 12.500 anti-Xa IE), Fragmin (1 sprøjte= 15.000 anti-Xa IE), Fragmin (1 sprøjte= 18.000 anti-Xa IE)
B01AB05_IM_40.0_mg_mg	B01AB05	40	mg	NA	NA	mg	IM	intramuscular	hvidovre	5	Klexane
B01AB05_SC_0.8_ml_ml	B01AB05	0.8	ml	NA	NA	ml	SC	subcutaneous	Vejle_extract	5	Klexane
B01AB05_SC_102.0_mg_mg/kg	B01AB05	102	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	5	Klexane
B01AB05_SC_105.0_mg_mg/kg	B01AB05	105	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	5	Klexane
B01AB05_SC_39.0_mg_mg	B01AB05	39	mg	NA	NA	mg	SC	subcutaneous	Odense_extract	5	Klexane
B01AB05_SC_73.0_mg_mg	B01AB05	73	mg	NA	NA	mg	SC	subcutaneous	Odense_extract	5	Klexane
B01AB05_SC_74.0_mg_mg	B01AB05	74	mg	NA	NA	mg	SC	subcutaneous	Odense_extract	5	Klexane
B01AB05_IM_20.0_mg_mg	B01AB05	20	mg	NA	NA	mg	IM	intramuscular	hvidovre	6	Klexane
B01AB05_SC_102.0_mg_mg	B01AB05	102	mg	NA	NA	mg	SC	subcutaneous	Odense_extract	6	Klexane
B01AB05_SC_120.0_mg_mg/kg	B01AB05	120	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	6	Klexane
B01AB05_SC_20.0_iu_iu	B01AB05	20	iu	NA	NA	iu	SC	subcutaneous	hvidovre	6	Klexane
B01AB05_SC_35.0_mg_mg	B01AB05	35	mg	NA	NA	mg	SC	subcutaneous	Rigshospital_almen	6	Klexane
B01AB05_SC_78.0_mg_mg	B01AB05	78	mg	NA	NA	mg	SC	subcutaneous	Odense_extract	6	Klexane
B01AB05_SC_81.0_mg_mg/kg	B01AB05	81	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	6	Klexane
B01AB05_SC_87.0_mg_mg/kg	B01AB05	87	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	6	Klexane
B01AB05_SC_94.0_mg_mg/kg	B01AB05	94	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	6	Klexane
B01AB05_SC_5.5_mg_mg	B01AB05	5.5	mg	NA	NA	mg	SC	subcutaneous	Odense_extract	7	Klexane
B01AB05_SC_55.0_mg_mg	B01AB05	55	mg	NA	NA	mg	SC	subcutaneous	Odense_extract	7	Klexane
B01AB05_SC_6.0_mg_mg	B01AB05	6	mg	NA	NA	mg	SC	subcutaneous	Odense_extract	7	Klexane
B01AB05_SC_95.0_mg_mg/kg	B01AB05	95	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	7	Klexane
B01AB05_SC_50.0_mg_mg/kg	B01AB05	50	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	10	Klexane
B01AB05_SC_55.0_mg_mg/kg	B01AB05	55	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	10	Klexane
B01AB05_SC_40_mg_mg	B01AB05	40	mg	NA	NA	mg	SC	subcutaneous	bispebjerg	11	Klexane
B01AB05_SC_85.0_mg_mg/kg	B01AB05	85	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	13	Klexane
B01AB05_SC_65.0_mg_mg/kg	B01AB05	65	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	14	Klexane
B01AB05_IV_40.0_mg_mg	B01AB05	40	mg	NA	NA	mg	IV	intravenous	hvidovre, Rigshospital_almen	16	Klexane, Klexane (1 sprøjte indeholder = 40 mg)
B01AB05_SC_2.0_mg_mg	B01AB05	2	mg	NA	NA	mg	SC	subcutaneous	Odense_extract	16	Klexane
B01AB05_SC_65.0_mg_mg	B01AB05	65	mg	NA	NA	mg	SC	subcutaneous	Odense_extract, Rigshospital_almen	16	Klexane
B01AB05_SC_100.0_mg_mg/kg	B01AB05	100	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	17	Klexane
B01AB05_SC_60.0_mg_mg/kg	B01AB05	60	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	18	Klexane
B01AB05_SC_1.0_mg_mg	B01AB05	1	mg	NA	NA	mg	SC	subcutaneous	Odense_extract, Rigshospital_almen	21	Klexane
B01AB05_SC_85.0_mg_mg	B01AB05	85	mg	NA	NA	mg	SC	subcutaneous	Odense_extract, Rigshospital_almen	21	Klexane
B01AB05_SC_120.0_mg_mg	B01AB05	120	mg	NA	NA	mg	SC	subcutaneous	Odense_extract, Vejle_extract	22	Klexane
B01AB05_SC_15.0_mg_mg	B01AB05	15	mg	NA	NA	mg	SC	subcutaneous	Odense_extract, Rigshospital_almen	22	Klexane, Klexane (1 sprøjte indeholder = 40 mg)
B01AB05_SC_90.0_mg_mg/kg	B01AB05	90	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	23	Klexane
B01AB05_SC_75.0_mg_mg/kg	B01AB05	75	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	24	Klexane
B01AB05_IV_20.0_mg_mg	B01AB05	20	mg	NA	NA	mg	IV	intravenous	hvidovre, Rigshospital_almen	26	Klexane, Klexane (1 sprøjte indeholder = 40 mg)
B01AB05_SC_70.0_mg_mg/kg	B01AB05	70	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract, Rigshospital_almen	27	Klexane
B01AB05_SC_8.0_mg_mg	B01AB05	8	mg	NA	NA	mg	SC	subcutaneous	Odense_extract	27	Klexane
B01AB05_SC_5.0_mg_mg	B01AB05	5	mg	NA	NA	mg	SC	subcutaneous	Odense_extract, Rigshospital_almen	39	Klexane
B01AB05_SC_40.0_mg_mg/kg	B01AB05	40	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract	44	Klexane
B01AB05_SC_30.0_mg_mg	B01AB05	30	mg	NA	NA	mg	SC	subcutaneous	hvidovre, Odense_extract, Rigshospital_almen	49	Klexane
B01AB05_SC_75.0_mg_mg	B01AB05	75	mg	NA	NA	mg	SC	subcutaneous	Odense_extract, Rigshospital_almen	50	Klexane
B01AB05_SC_90.0_mg_mg	B01AB05	90	mg	NA	NA	mg	SC	subcutaneous	Odense_extract, Rigshospital_almen	58	Klexane
B01AB05_SC_70.0_mg_mg	B01AB05	70	mg	NA	NA	mg	SC	subcutaneous	Odense_extract, Rigshospital_almen	63	Klexane, Klexane (1 sprøjte indeholder = 40 mg)
B01AB05_SC_80.0_mg_mg/kg	B01AB05	80	mg	NA	NA	mg/kg	SC	subcutaneous	Odense_extract, Vejle_extract	72	Klexane
B01AB05_SC_50.0_mg_mg	B01AB05	50	mg	NA	NA	mg	SC	subcutaneous	hvidovre, Odense_extract, Rigshospital_almen	75	Klexane
B01AB05_SC_10.0_mg_mg	B01AB05	10	mg	NA	NA	mg	SC	subcutaneous	Odense_extract, Rigshospital_almen	76	Klexane, Klexane (1 sprøjte indeholder = 40 mg)
B01AB05_SC_100.0_mg_mg	B01AB05	100	mg	NA	NA	mg	SC	subcutaneous	herlev, hvidovre, Odense_extract, Rigshospital_almen, Vejle_extract	153	Klexane
B01AB05_SC_60.0_mg_mg	B01AB05	60	mg	NA	NA	mg	SC	subcutaneous	herlev, hvidovre, Odense_extract, Rigshospital_almen, Vejle_extract	375	Klexane, Klexane (1 sprøjte indeholder = 40 mg), Klexane (1 sprøjte indeholder = 60 mg)
B01AB05_SC_80.0_mg_mg	B01AB05	80	mg	NA	NA	mg	SC	subcutaneous	herlev, hvidovre, Odense_extract, Rigshospital_almen, Vejle_extract	523	Klexane, Klexane (1 sprøjte indeholder = 40 mg), Klexane (1 sprøjte indeholder = 80 mg)
B01AB05_SC_20.0_mg_mg	B01AB05	20	mg	NA	NA	mg	SC	subcutaneous	hvidovre, Odense_extract, Rigshospital_almen, Vejle_extract	2584	Klexane, Klexane (1 sprøjte indeholder = 40 mg), Klexane (1 sprøjte indeholder = 60 mg)
B01AB05_SC_40.0_mg_mg	B01AB05	40	mg	NA	NA	mg	SC	subcutaneous	herlev, hvidovre, Odense_extract, Rigshospital_almen, Vejle_extract	7545	Klexane, Klexane (1 sprøjte indeholder = 40 mg)
B01AB10_SC_0.35_ml_ml	B01AB10	0.35	ml	NA	NA	ml	SC	subcutaneous	Esbjerg	5	Innohep
B01AB10_SC_1.0_iu_iu	B01AB10	1	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	5	Innohep
B01AB10_SC_10500_iu_iu/kg	B01AB10	10500	iu	NA	NA	iu/kg	SC	subcutaneous	Esbjerg	5	Innohep (1 htgl= 20.000 anti-Xa IE) Le
B01AB10_SC_11375.0_iu_iu/kg	B01AB10	11375	iu	NA	NA	iu/kg	SC	subcutaneous	herlev	5	Innohep
B01AB10_SC_11375_iu_iu/kg	B01AB10	11375	iu	NA	NA	iu/kg	SC	subcutaneous	bispebjerg	5	Innohep
B01AB10_SC_13125.0_iu_iu/kg	B01AB10	13125	iu	NA	NA	iu/kg	SC	subcutaneous	herlev	5	Innohep
B01AB10_SC_15750.0_iu_iu/kg	B01AB10	15750	iu	NA	NA	iu/kg	SC	subcutaneous	herlev	5	Innohep
B01AB10_SC_16000.0_iu_iu	B01AB10	16000	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	5	Innohep
B01AB10_SC_2250.0_iu_iu	B01AB10	2250	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	5	Innohep
B01AB10_SC_3200.0_iu_iu	B01AB10	3200	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	5	Innohep
B01AB10_SC_600.0_iu_iu	B01AB10	600	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	5	Innohep
B01AB10_SC_750.0_iu_iu	B01AB10	750	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	5	Innohep
B01AB10_SC_8750_iu_iu/kg	B01AB10	8750	iu	NA	NA	iu/kg	SC	subcutaneous	bispebjerg	5	Innohep
B01AB10_SC_9460.0_iu_iu	B01AB10	9460	iu	NA	NA	iu	SC	subcutaneous	herlev	5	Innohep
B01AB10_SC_10500.0_iu_iu	B01AB10	10500	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	6	Innohep
B01AB10_SC_12250.0_iu_iu	B01AB10	12250	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	6	Innohep
B01AB10_SC_1250.0_iu_iu	B01AB10	1250	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	6	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE)
B01AB10_SC_14875.0_iu_iu/kg	B01AB10	14875	iu	NA	NA	iu/kg	SC	subcutaneous	herlev	6	Innohep
B01AB10_SC_15000_iu_iu	B01AB10	15000	iu	NA	NA	iu	SC	subcutaneous	Esbjerg	6	Innohep, Innohep (1 htgl= 20.000 anti-Xa IE) Le, Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_SC_6500_iu_iu	B01AB10	6500	iu	NA	NA	iu	SC	subcutaneous	bispebjerg	6	Innohep
B01AB10_SC_12250.0_iu_iu/kg	B01AB10	12250	iu	NA	NA	iu/kg	SC	subcutaneous	herlev	7	Innohep
B01AB10_SC_13500_iu_iu	B01AB10	13500	iu	NA	NA	iu	SC	subcutaneous	Esbjerg	7	Innohep, Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_SC_7500_iu_iu	B01AB10	7500	iu	NA	NA	iu	SC	subcutaneous	bispebjerg	7	Innohep
B01AB10_SC_8800_iu_iu	B01AB10	8800	iu	NA	NA	iu	SC	subcutaneous	bispebjerg	7	Innohep
B01AB10_SC_16000_iu_iu	B01AB10	16000	iu	NA	NA	iu	SC	subcutaneous	Esbjerg	8	Innohep, Innohep (1 htgl= 20.000 anti-Xa IE) Le, Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_SC_20000_iu_iu	B01AB10	20000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg	8	Innohep
B01AB10_SC_3500.0_iu_iu/kg	B01AB10	3500	iu	NA	NA	iu/kg	SC	subcutaneous	herlev	8	Innohep
B01AB10_SC_6600.0_iu_iu	B01AB10	6600	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	8	Innohep
B01AB10_SC_14000.0_iu_iu/kg	B01AB10	14000	iu	NA	NA	iu/kg	SC	subcutaneous	herlev	9	Innohep
B01AB10_SC_5500.0_iu_iu	B01AB10	5500	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	9	Innohep
B01AB10_IV_2000.0_iu_iu	B01AB10	2000	iu	NA	NA	iu	IV	intravenous	Rigshospital_almen	10	Innohep
B01AB10_IV_500.0_iu_iu	B01AB10	500	iu	NA	NA	iu	IV	intravenous	Rigshospital_almen	10	Innohep
B01AB10_SC_12500.0_iu_iu	B01AB10	12500	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	10	Innohep, Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_SC_8500.0_iu_iu	B01AB10	8500	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	10	Innohep
B01AB10_IV_1000.0_iu_iu	B01AB10	1000	iu	NA	NA	iu	IV	intravenous	Rigshospital_almen	11	Innohep
B01AB10_ID_4500.0_iu_iu	B01AB10	4500	iu	NA	NA	iu	ID	intradermal	Rigshospital_almen	13	Innohep
B01AB10_SC_12000_iu_iu	B01AB10	12000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg	13	Innohep
B01AB10_SC_6000_iu_iu	B01AB10	6000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg	13	Innohep
B01AB10_SC_9500.0_iu_iu	B01AB10	9500	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Rigshospital_almen	13	Innohep, Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_SC_14000_iu_iu/kg	B01AB10	14000	iu	NA	NA	iu/kg	SC	subcutaneous	bispebjerg, Esbjerg	21	Innohep, Innohep (1 htgl= 20.000 anti-Xa IE) Le
B01AB10_SC_5000_iu_iu	B01AB10	5000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg	22	Innohep, Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_SC_11000.0_iu_iu	B01AB10	11000	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	23	Innohep
B01AB10_SC_1500.0_iu_iu	B01AB10	1500	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	23	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE)
B01AB10_IV_3500.0_iu_iu	B01AB10	3500	iu	NA	NA	iu	IV	intravenous	Rigshospital_almen	27	Innohep
B01AB10_SC_3000.0_iu_iu	B01AB10	3000	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	27	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE)
B01AB10_SC_7000_iu_iu	B01AB10	7000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg	27	Innohep, Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_SC_14000_iu_iu	B01AB10	14000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg	28	Innohep, Innohep (1 htgl= 20.000 anti-Xa IE) Le, Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_SC_13000.0_iu_iu	B01AB10	13000	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	30	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE), Innohep (1 sprøjte= 14.000 anti-Xa IE)
B01AB10_SC_4000.0_iu_iu	B01AB10	4000	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	30	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE)
B01AB10_SC_1000.0_iu_iu	B01AB10	1000	iu	NA	NA	iu	SC	subcutaneous	Rigshospital_almen	31	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE), Innohep (1 sprøjte= 18.000 anti-Xa IE)
B01AB10_SC_8000_iu_iu	B01AB10	8000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg	31	Innohep, Innohep (1 htgl= 20.000 anti-Xa IE) Le, Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_SC_15000.0_iu_iu	B01AB10	15000	iu	NA	NA	iu	SC	subcutaneous	Esbjerg, Rigshospital_almen	35	Innohep, Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE)
B01AB10_SC_18000_iu_iu	B01AB10	18000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg	38	Innohep, Innohep (1 htgl= 20.000 anti-Xa IE) Le, Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_SC_9000_iu_iu	B01AB10	9000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg	38	Innohep, Innohep (1 htgl= 20.000 anti-Xa IE) Le, Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE)
B01AB10_SC_10000_iu_iu	B01AB10	10000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg	39	Innohep, Innohep (1 htgl= 20.000 anti-Xa IE) Le
B01AB10_SC_6500.0_iu_iu	B01AB10	6500	iu	NA	NA	iu	SC	subcutaneous	herlev, Rigshospital_almen	54	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE), Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_IV_4500.0_iu_iu	B01AB10	4500	iu	NA	NA	iu	IV	intravenous	Rigshospital_almen	57	Innohep, Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_SC_2000.0_iu_iu	B01AB10	2000	iu	NA	NA	iu	SC	subcutaneous	herlev, Rigshospital_almen	63	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE), Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE)
B01AB10_SC_8000.0_iu_iu	B01AB10	8000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, herlev, Rigshospital_almen	76	Innohep, Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_SC_14000.0_iu_iu	B01AB10	14000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg, herlev, hvidovre, Rigshospital_almen	84	Innohep, Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE), Innohep (1 sprøjte= 14.000 anti-Xa IE)
B01AB10_SC_12000.0_iu_iu	B01AB10	12000	iu	NA	NA	iu	SC	subcutaneous	Esbjerg, herlev, hvidovre, Rigshospital_almen	98	Innohep, Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE)
B01AB10_SC_9000.0_iu_iu	B01AB10	9000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg, herlev, Rigshospital_almen	105	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE), Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE), Innohep (1 sprøjte= 18.000 anti-Xa IE)
B01AB10_SC_2500.0_iu_iu	B01AB10	2500	iu	NA	NA	iu	SC	subcutaneous	herlev, Rigshospital_almen	116	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE), Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE)
B01AB10_SC_5000.0_iu_iu	B01AB10	5000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, herlev, Rigshospital_almen	122	Innohep, Innohep (1 htgl= 20.000 anti-Xa IE) Le, Innohep (1 sprøjte = 2.500 anti-Xa IE), Innohep (1 sprøjte = 3.500 anti-Xa IE)
B01AB10_SC_6000.0_iu_iu	B01AB10	6000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, herlev, Rigshospital_almen	126	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE), Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE)
B01AB10_SC_7500.0_iu_iu	B01AB10	7500	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg, Rigshospital_almen	130	Innohep, Innohep (1 htgl= 20.000 anti-Xa IE) Le, Innohep (1 sprøjte = 2.500 anti-Xa IE), Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE)
B01AB10_SC_7000.0_iu_iu	B01AB10	7000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, herlev, Rigshospital_almen	173	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE), Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte= 14.000 anti-Xa IE)
B01AB10_SC_10000.0_iu_iu	B01AB10	10000	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg, herlev, Rigshospital_almen	184	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE), Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE)
B01AB10_SC_4500_iu_iu	B01AB10	4500	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg	214	Innohep, Innohep (1 htgl= 20.000 anti-Xa IE) Le, Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE)
B01AB10_SC_3500_iu_iu	B01AB10	3500	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg	930	Innohep, Innohep (1 htgl= 20.000 anti-Xa IE) Le, Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE)
B01AB10_SC_4500.0_iu_iu	B01AB10	4500	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg, herlev, hvidovre, Rigshospital_almen	3651	Innohep, Innohep (1 htgl= 20.000 anti-Xa IE) Le, Innohep (1 sprøjte = 2.500 anti-Xa IE), Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE), Innohep (1 sprøjte= 14.000 anti-Xa IE), Innohep (1 sprøjte= 18.000 anti-Xa IE)
B01AB10_SC_3500.0_iu_iu	B01AB10	3500	iu	NA	NA	iu	SC	subcutaneous	bispebjerg, Esbjerg, herlev, hvidovre, Rigshospital_almen	5006	Innohep, Innohep (1 sprøjte = 2.500 anti-Xa IE), Innohep (1 sprøjte = 3.500 anti-Xa IE), Innohep (1 sprøjte = 4.500 anti-Xa IE), Innohep (1 sprøjte= 14.000 anti-Xa IE)
B01AC04_OR_75.0_mg_mg	B01AC04	75	mg	NA	NA	mg	OR	oral	herlev, hvidovre	18	Clopidogrel """"Actavis"""", Clopidogrel """"Orion"""", Plavix
B01AC04_OR_75_mg_mg	B01AC04	75	mg	NA	NA	mg	OR	oral	bispebjerg, Svendborg_extract, Vejle_extract	31	Clopidogrel """"Accord"""", Clopidogrel """"Actavis"""", Clopidogrel """"Krka"""", Clopidogrel """"Stada"""", Clopidogrel Actavis, Plavix
B01AC04_GA_75.0_mg_mg	B01AC04	75	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, herlev, hvidovre, Rigshospital_almen	351	Clopidogrel """"Actavis"""", Clopidogrel """"Aurobindo"""", Clopidogrel """"Orion"""", Clopidogrel """"SAF"""" (Plavix) med konservering, Plavix, Plavix i unitdose
B01AC04_GA_75_mg_mg	B01AC04	75	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Odense_extract, Soenderborg_extract, Svendborg_extract, Vejle_extract	725	Clopidogrel """"Accord"""", Clopidogrel """"Actavis"""", Clopidogrel """"Amneal"""", Clopidogrel """"Aurobindo"""", Clopidogrel """"HCS"""", Clopidogrel """"Krka"""", Clopidogrel """"Mylan"""", Clopidogrel """"Orion"""", Clopidogrel """"SAF"""" (Plavix) med konservering, Clopidogrel """"Stada"""", Clopidogrel Accord, Clopidogrel Actavis, Clopidogrel Krka, Clopidogrel Orion, Clopidogrel Sandoz, Cloriocard, Plavix
B01AC06_GA_1.0_pcs_pcs	B01AC06	1	pcs	NA	NA	pcs	GA	gastrointestinal = peroral	Rigshospital_almen	5	Hjertemagnyl
B01AC06_OR_75.0_mg_mg	B01AC06	75	mg	NA	NA	mg	OR	oral	herlev, Rigshospital_almen	27	Hjertemagnyl
B01AC06_GA_150_mg_mg	B01AC06	150	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Odense_extract	50	Hjerdyl, Hjertemagnyl
B01AC06_GA_150.0_mg_mg	B01AC06	150	mg	NA	NA	mg	GA	gastrointestinal = peroral	herlev, Rigshospital_almen, Vejle_extract	90	Hjerdyl, Hjertemagnyl, Magnyl Svage """"DAK""""
B01AC06_GA_75.0_mg_mg	B01AC06	75	mg	NA	NA	mg	GA	gastrointestinal = peroral	herlev, hvidovre, Rigshospital_almen, Vejle_extract	1078	Acetylsalisyre skanderborg, Hjerdyl, Hjertealbyl, Hjertemagnyl
B01AC06_GA_75_mg_mg	B01AC06	75	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Odense_extract, Soenderborg_extract, Svendborg_extract	2157	Hjerdyl, Hjertealbyl, Hjertemagnyl
B01AC07_GA_100.0_mg_mg	B01AC07	100	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	8	Persantin, Persantin Retard
B01AC07_GA_200.0_mg_mg	B01AC07	200	mg	NA	NA	mg	GA	gastrointestinal = peroral	herlev, hvidovre, Rigshospital_almen	27	Persantin, Persantin Retard
B01AC07_GA_100_mg_mg	B01AC07	100	mg	NA	NA	mg	GA	gastrointestinal = peroral	Esbjerg, Kolding_extract, Odense_extract, Svendborg_extract, Vejle_extract	95	Persantin
B01AC07_GA_200_mg_mg	B01AC07	200	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Odense_extract, Svendborg_extract, Vejle_extract	169	Persantin, Persantin Retard, Persantine Retard
B01AC09_IH_3600.0_ng_ng/kg/min	B01AC09	3600	ng	1	ml	ng/kg/min	IH	inhalation	Rigshospital_almen	5	Flolan
B01AC09_IH_5100.0_ng_ng/kg/min	B01AC09	5100	ng	1	ml	ng/kg/min	IH	inhalation	Esbjerg	5	Flolan
B01AC09_IV_4680.0_ng_ng/kg/min	B01AC09	4680	ng	1	ml	ng/kg/min	IV	intravenous	Rigshospital_almen	5	Flolan
B01AC09_IV_4920.0_ng_ng/kg/min	B01AC09	4920	ng	1	ml	ng/kg/min	IV	intravenous	Rigshospital_almen	5	Flolan
B01AC09_IH_5400.0_ng_ng/kg/min	B01AC09	5400	ng	1	ml	ng/kg/min	IH	inhalation	Odense_extract	6	Flolan
B01AC09_IH_6000.0_ng_ng/kg/min	B01AC09	6000	ng	1	ml	ng/kg/min	IH	inhalation	hvidovre	6	Flolan
